Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
#NAME?,J1,PinHeader_1x01_P2.54mm_Vertical,126.5,-92.5,0,top
#NAME?,J1,PinHeader_1x01_P2.54mm_Vertical,131,-92.5,0,top
C1,10nF,C_0603_1608Metric,134.725,-115,0,top
C2,100nF,C_1206_3216Metric,140.475,-115.5,0,top
C3,100nF,C_1206_3216Metric,146.5,-115.525,90,top
C4,.01u,C_0603_1608Metric,131,-97.725,90,top
C5,0.1u,C_0603_1608Metric,134,-97.725,90,top
C6,0.1u,C_0603_1608Metric,137,-97.725,90,top
C7,0.01u,C_0603_1608Metric,140,-97.725,90,top
C8,0.1u,C_0603_1608Metric,143,-97.725,90,top
C9,0.01u,C_0603_1608Metric,135,-101.5,90,top
C10,0.1u,C_0603_1608Metric,138,-101.5,90,top
C11,0.01u,C_0603_1608Metric,141,-101.5,90,top
CHUA_OUT,Male_Header_1x1,PinHeader_1x01_P2.54mm_Vertical,150.5,-92.5,0,top
GND,TP4,PinHeader_1x01_P2.54mm_Vertical,126.5,-102,0,top
OPA1,TL084,SOIC127P600X175-14N,138,-108,0,top
OPA2,TL082,SOIC127P600X175-8N,138,-93,0,top
R1,220,R_0603_1608Metric,132,-101.175,-90,top
R2,220,R_0603_1608Metric,132,-104.675,-90,top
R3,2.2K,R_0603_1608Metric,144,-102.675,90,top
R4,22K,R_0603_1608Metric,132,-108.175,-90,top
R5,22K,R_0603_1608Metric,132,-111.85,-90,top
R6,3.3K,R_0603_1608Metric,144,-106.325,90,top
R7,100,R_0603_1608Metric,144,-109.675,90,top
R8,1K,R_0603_1608Metric,144,-113.175,90,top
R9,1K,R_0603_1608Metric,146,-111.5,-90,top
RV1,5K,PinHeader_1x03_P2.54mm_Vertical,150.5,-101,0,top
RV2,5k,PinHeader_1x03_P2.54mm_Vertical,150.5,-112.5,0,top
X,TP3,PinHeader_1x01_P2.54mm_Vertical,126.5,-107,0,top
Y,TP2,PinHeader_1x01_P2.54mm_Vertical,126.5,-112,0,top
Z,TP1,PinHeader_1x01_P2.54mm_Vertical,126.5,-117,0,top
